20200803,10:35:24,99.710,1377.971,1377.971,1377.971,1377.971,1377.971,1377.971,1377.971,27.115
20200803,10:36:24,99.710,1378.214,1378.214,1378.214,1378.214,1378.214,1378.214,1378.214,26.620
20200803,10:37:24,99.710,1378.411,1378.411,1378.411,1378.411,1378.411,1378.411,1378.411,26.255
20200803,10:38:24,99.710,1378.582,1378.582,1378.582,1378.582,1378.582,1378.582,1378.582,25.979
20200803,10:39:24,99.710,1378.738,1378.738,1378.738,1378.738,1378.738,1378.738,1378.738,25.911
20200803,10:40:24,99.710,1378.881,1378.881,1378.881,1378.881,1378.881,1378.881,1378.881,26.294
20200803,10:41:24,99.710,1379.016,1379.016,1379.016,1379.016,1379.016,1379.016,1379.016,26.787
20200803,10:42:24,99.710,1379.146,1379.146,1379.146,1379.146,1379.146,1379.146,1379.146,27.043
20200803,10:43:24,99.710,1379.268,1379.268,1379.268,1379.268,1379.268,1379.268,1379.268,27.198
20200803,10:44:24,99.710,1379.390,1379.390,1379.390,1379.390,1379.390,1379.390,1379.390,27.311
20200803,10:45:24,99.710,1379.508,1379.508,1379.508,1379.508,1379.508,1379.508,1379.508,27.256
20200803,10:46:24,99.710,1379.621,1379.621,1379.621,1379.621,1379.621,1379.621,1379.621,26.899
20200803,10:47:24,99.710,1379.728,1379.728,1379.728,1379.728,1379.728,1379.728,1379.728,26.514
