20200725,16:09:52,99.710,1379.595,1379.595,1379.595,1379.595,1379.595,1379.595,1379.595,26.773
20200725,16:10:52,99.710,1379.570,1379.570,1379.570,1379.570,1379.570,1379.570,1379.570,26.723
20200725,16:11:52,99.710,1379.547,1379.547,1379.547,1379.547,1379.547,1379.547,1379.547,26.752
20200725,16:12:52,99.710,1379.524,1379.524,1379.524,1379.524,1379.524,1379.524,1379.524,26.740
20200725,16:13:52,99.710,1379.497,1379.497,1379.497,1379.497,1379.497,1379.497,1379.497,26.782
20200725,16:14:52,99.710,1379.466,1379.466,1379.466,1379.466,1379.466,1379.466,1379.466,26.806
20200725,16:15:52,99.710,1379.447,1379.447,1379.447,1379.447,1379.447,1379.447,1379.447,26.863
20200725,16:16:52,99.710,1379.427,1379.427,1379.427,1379.427,1379.427,1379.427,1379.427,26.876
20200725,16:17:52,99.710,1379.410,1379.410,1379.410,1379.410,1379.410,1379.410,1379.410,26.901
20200725,16:18:52,99.710,1379.394,1379.394,1379.394,1379.394,1379.394,1379.394,1379.394,26.896
20200725,16:19:53,99.710,1379.377,1379.377,1379.377,1379.377,1379.377,1379.377,1379.377,26.890
20200725,16:20:53,99.710,1379.368,1379.368,1379.368,1379.368,1379.368,1379.368,1379.368,26.923
20200725,16:21:53,99.710,1379.355,1379.355,1379.355,1379.355,1379.355,1379.355,1379.355,26.963
20200725,16:22:53,99.710,1379.344,1379.344,1379.344,1379.344,1379.344,1379.344,1379.344,26.930
20200725,16:23:53,99.710,1379.337,1379.337,1379.337,1379.337,1379.337,1379.337,1379.337,27.006
20200725,16:24:53,99.710,1379.337,1379.337,1379.337,1379.337,1379.337,1379.337,1379.337,27.076
20200725,16:25:53,99.710,1379.334,1379.334,1379.334,1379.334,1379.334,1379.334,1379.334,27.063
20200725,16:26:53,99.710,1379.338,1379.338,1379.338,1379.338,1379.338,1379.338,1379.338,27.141
20200725,16:27:53,99.710,1379.341,1379.341,1379.341,1379.341,1379.341,1379.341,1379.341,27.151
20200725,16:28:53,99.710,1379.347,1379.347,1379.347,1379.347,1379.347,1379.347,1379.347,27.174
20200725,16:29:53,99.710,1379.351,1379.351,1379.351,1379.351,1379.351,1379.351,1379.351,27.200
20200725,16:30:53,99.710,1379.358,1379.358,1379.358,1379.358,1379.358,1379.358,1379.358,27.074
20200725,16:31:53,99.710,1379.363,1379.363,1379.363,1379.363,1379.363,1379.363,1379.363,26.918
20200725,16:32:53,99.710,1379.364,1379.364,1379.364,1379.364,1379.364,1379.364,1379.364,26.878
20200725,16:33:53,99.710,1379.364,1379.364,1379.364,1379.364,1379.364,1379.364,1379.364,26.821
20200725,16:34:53,99.710,1379.355,1379.355,1379.355,1379.355,1379.355,1379.355,1379.355,26.740
20200725,16:35:53,99.710,1379.343,1379.343,1379.343,1379.343,1379.343,1379.343,1379.343,26.690
20200725,16:36:53,99.710,1379.328,1379.328,1379.328,1379.328,1379.328,1379.328,1379.328,26.591
20200725,16:37:53,99.710,1379.313,1379.313,1379.313,1379.313,1379.313,1379.313,1379.313,26.595
20200725,16:38:53,99.710,1379.291,1379.291,1379.291,1379.291,1379.291,1379.291,1379.291,26.609
20200725,16:39:53,99.710,1379.267,1379.267,1379.267,1379.267,1379.267,1379.267,1379.267,26.549
20200725,16:40:54,99.710,1379.247,1379.247,1379.247,1379.247,1379.247,1379.247,1379.247,26.546
20200725,16:41:54,99.710,1379.228,1379.228,1379.228,1379.228,1379.228,1379.228,1379.228,26.632
20200725,16:42:54,99.710,1379.220,1379.220,1379.220,1379.220,1379.220,1379.220,1379.220,26.922
20200725,16:43:54,99.710,1379.221,1379.221,1379.221,1379.221,1379.221,1379.221,1379.221,27.160
20200725,16:44:54,99.710,1379.228,1379.228,1379.228,1379.228,1379.228,1379.228,1379.228,27.217
20200725,16:45:54,99.710,1379.242,1379.242,1379.242,1379.242,1379.242,1379.242,1379.242,27.091
20200725,18:15:41,99.710,1379.713,1379.713,1379.713,1379.713,1379.713,1379.713,1379.713,26.758
20200725,18:15:51,99.710,1379.712,1379.712,1379.712,1379.712,1379.712,1379.712,1379.712,26.765
20200725,18:16:13,99.710,1379.708,1379.708,1379.708,1379.708,1379.708,1379.708,1379.708,26.798
20200725,18:16:23,99.710,1379.707,1379.707,1379.707,1379.707,1379.707,1379.707,1379.707,26.798
20200725,18:16:33,99.710,1379.705,1379.705,1379.705,1379.705,1379.705,1379.705,1379.705,26.801
20200725,18:16:43,99.710,1379.705,1379.705,1379.705,1379.705,1379.705,1379.705,1379.705,26.807
20200725,18:16:53,99.710,1379.701,1379.701,1379.701,1379.701,1379.701,1379.701,1379.701,26.812
20200725,18:17:03,99.710,1379.700,1379.700,1379.700,1379.700,1379.700,1379.700,1379.700,26.824
20200725,18:17:13,99.710,1379.699,1379.699,1379.699,1379.699,1379.699,1379.699,1379.699,26.827
20200725,18:18:04,99.710,1379.691,1379.691,1379.691,1379.691,1379.691,1379.691,1379.691,26.792
20200725,18:18:14,99.710,1379.690,1379.690,1379.690,1379.690,1379.690,1379.690,1379.690,26.793
20200725,18:19:11,99.710,1379.680,1379.680,1379.680,1379.680,1379.680,1379.680,1379.680,26.866
20200725,18:19:21,99.710,1379.679,1379.679,1379.679,1379.679,1379.679,1379.679,1379.679,26.875
20200725,18:19:31,99.710,1379.679,1379.679,1379.679,1379.679,1379.679,1379.679,1379.679,26.880
20200725,18:21:02,99.710,1379.671,1379.671,1379.671,1379.671,1379.671,1379.671,1379.671,26.890
20200725,18:21:12,99.710,1379.668,1379.668,1379.668,1379.668,1379.668,1379.668,1379.668,26.891
20200725,22:07:53,99.710,1379.291,1379.291,1379.291,1379.291,1379.291,1379.291,1379.291,26.869
20200725,22:43:12,99.710,1379.262,1379.262,1379.262,1379.262,1379.262,1379.262,1379.262,26.539
20200725,22:45:25,99.710,1379.279,1379.279,1379.279,1379.279,1379.279,1379.279,1379.279,26.858
20200725,22:45:48,99.710,1379.285,1379.285,1379.285,1379.285,1379.285,1379.285,1379.285,26.854
20200725,22:45:58,99.710,1379.282,1379.282,1379.282,1379.282,1379.282,1379.282,1379.282,26.831
20200725,22:46:08,99.710,1379.287,1379.287,1379.287,1379.287,1379.287,1379.287,1379.287,26.805
20200725,22:57:19,99.710,1379.273,1379.273,1379.273,1379.273,1379.273,1379.273,1379.273,26.616
20200725,22:57:25,99.709,1379.269,1379.269,1379.269,1379.269,1379.269,1379.269,1379.269,26.617
20200725,22:57:31,99.710,1379.273,1379.273,1379.273,1379.273,1379.273,1379.273,1379.273,26.621
20200725,22:57:37,99.710,1379.276,1379.276,1379.276,1379.276,1379.276,1379.276,1379.276,26.624
20200725,22:57:43,75.348,837.851,1362.591,919.514,919.514,919.514,919.514,919.514,17.750
