20200725,22:58:09,1379.277
20200725,22:58:15,1379.277
20200725,22:58:21,1379.279
20200725,22:58:27,1379.278
20200725,22:58:33,1379.279
20200725,22:58:39,1379.277
20200725,22:58:45,1379.278
20200725,22:58:51,1379.277,17.720
20200725,22:58:57,1379.277,26.579
20200725,22:59:03,1379.280,26.584
20200725,22:59:09,1379.279,26.593
20200725,22:59:15,1379.278,26.594
20200725,22:59:21,1379.273,26.590
20200725,22:59:27,1379.280,26.592
20200725,22:59:33,1379.279,26.599
20200725,23:00:13,1379.276,26.629
20200725,23:00:19,1379.277,26.636
20200725,23:00:25,1379.283,26.644
